MatchID,TeamID,Time,Scorer,Assist,IsOwnGoal,IsPenalty
760415,203,9',Julián Quiñones,Érik Lira,False,False
760415,203,67',Raúl Jiménez,Roberto Alvarado,False,False
760414,450,59',Ladislav Krejcí,Vladimír Coufal,False,False
760414,451,67',Hwang In-Beom,Lee Kang-In,False,False
760414,451,80',Oh Hyeon-Gyu,Hwang In-Beom,False,False
760416,452,21',Jovo Lukic,Sead Kolasinac,False,False
760416,206,78',Cyle Larin,Promise David,False,False
760417,660,7',Damián Bobadilla,None,True,False
760417,660,31',Folarin Balogun,Christian Pulisic,False,False
760417,660,45'+5',Folarin Balogun,Malik Tillman,False,False
760417,210,73',Maurício,Julio Enciso,False,False
760417,660,90'+8',Giovanni Reyna,Alex Freeman,False,False
760420,475,17',Breel Embolo,None,False,True
760420,4398,90'+4',Miro Muheim,Homam Ahmed,True,False
760419,2869,21',Ismael Saibari,Brahim Díaz,False,False
760419,205,32',Vinícius Júnior,Bruno Guimarães,False,False
760418,580,28',John McGinn,None,False,False
760421,628,27',Nestory Irankunda,Paul Okon-Engstler,False,False
760421,628,75',Connor Metcalfe,None,False,False
760422,481,6',Felix Nmecha,Florian Wirtz,False,False
760422,11678,21',Livano Comenencia,None,False,False
760422,481,38',Nico Schlotterbeck,Nathaniel Brown,False,False
760422,481,45'+5',Kai Havertz,None,False,True
760422,481,47',Jamal Musiala,Joshua Kimmich,False,False
760422,481,68',Nathaniel Brown,Deniz Undav,False,False
760422,481,78',Deniz Undav,Joshua Kimmich,False,False
760422,481,88',Kai Havertz,Deniz Undav,False,False
760425,449,51',Virgil van Dijk,Ryan Gravenberch,False,False
760425,627,57',Keito Nakamura,Takefusa Kubo,False,False
760425,449,64',Crysencio Summerville,Ryan Gravenberch,False,False
760425,627,89',Daichi Kamada,Koki Ogawa,False,False
760423,4789,90',Amad Diallo,Wilfried Singo,False,False
760424,466,7',Yasin Ayari,None,False,False
760424,466,30',Alexander Isak,Viktor Gyökeres,False,False
760424,659,43',Omar Rekik,Hannibal Mejbri,False,False
760424,466,59',Viktor Gyökeres,Alexander Isak,False,False
760424,466,84',Mattias Svanberg,Alexander Isak,False,False
760424,466,90'+6',Yasin Ayari,Lucas Bergvall,False,False
760426,2620,20',Emam Ashour,Mohamed Salah,False,False
760426,459,66',Mohamed Hany,None,True,False
760429,655,41',Abdulelah Al-Amri,None,False,False
760429,212,80',Maxi Araújo,None,False,False
760427,2666,7',Elijah Just,Chris Wood,False,False
760427,469,32',Ramin Rezaeian,None,False,False
760427,2666,54',Elijah Just,Chris Wood,False,False
760427,469,64',Mohammad Mohebbi,Ramin Rezaeian,False,False
760432,478,66',Kylian Mbappé,Michael Olise,False,False
760432,478,82',Bradley Barcola,Adrien Rabiot,False,False
760432,654,90'+5',Ibrahim Mbaye,Iliman Ndiaye,False,False
760432,478,90'+6',Kylian Mbappé,None,False,False
760430,464,29',Erling Haaland,David Møller Wolfe,False,False
760430,4375,39',Aymen Hussein,Amir Al-Ammari,False,False
760430,464,43',Erling Haaland,None,False,False
760430,464,76',Leo Østigard,Martin Ødegaard,False,False
760430,464,90'+6',Aymen Hussein,None,True,False
760433,202,17',Lionel Messi,Rodrigo De Paul,False,False
760433,202,60',Lionel Messi,None,False,False
760433,202,76',Lionel Messi,Nico González,False,False
760431,474,21',Romano Schmid,Xaver Schlager,False,False
760431,2917,50',Ali Olwan,Noor Al-Rawabdeh,False,False
760431,474,76',Yazan Al-Arab,None,True,False
760431,474,90'+12',Marko Arnautovic,None,False,True
760435,482,6',João Neves,Pedro Neto,False,False
760435,2850,45'+5',Yoane Wissa,Arthur Masuaku,False,False
760437,448,12',Harry Kane,None,False,True
760437,477,36',Martin Baturina,Petar Sucic,False,False
760437,448,42',Harry Kane,Declan Rice,False,False
760437,477,45'+5',Petar Musa,Ivan Perisic,False,False
760437,448,47',Jude Bellingham,Elliot Anderson,False,False
760437,448,85',Marcus Rashford,Bukayo Saka,False,False
760434,4469,90'+5',Caleb Yirenkyi,Brandon Thomas-Asante,False,False
760436,208,40',Daniel Muñoz,Luis Díaz,False,False
