MatchID,MatchDate,Status,TeamID,TeamName,TeamAbbreviation,HomeAway,PossessionPct,TotalShots,ShotsOnTarget,PassesAttempted,AccuratePasses,FoulsCommitted,YellowCards,RedCards
760415,2026-06-11T19:00Z,FT,203,Mexico,MEX,home,60.5,16,4,520,467,12,1,1
760415,2026-06-11T19:00Z,FT,467,South Africa,RSA,away,39.5,3,2,334,272,11,2,2
760414,2026-06-12T02:00Z,FT,451,South Korea,KOR,home,61.5,15,6,541,469,9,1,0
760414,2026-06-12T02:00Z,FT,450,Czechia,CZE,away,38.5,7,4,327,230,16,0,0
760416,2026-06-12T19:00Z,FT,206,Canada,CAN,home,61.1,13,4,421,310,10,2,0
760416,2026-06-12T19:00Z,FT,452,Bosnia-Herzegovina,BIH,away,38.9,8,3,271,172,20,3,0
760417,2026-06-13T01:00Z,FT,660,United States,USA,home,65.3,16,6,598,509,13,1,0
760417,2026-06-13T01:00Z,FT,210,Paraguay,PAR,away,34.7,9,1,319,232,17,5,0
760420,2026-06-13T19:00Z,FT,4398,Qatar,QAT,home,32,6,3,278,200,12,2,0
760420,2026-06-13T19:00Z,FT,475,Switzerland,SUI,away,68,26,7,576,527,11,1,0
760419,2026-06-13T22:00Z,FT,205,Brazil,BRA,home,51.4,12,5,514,449,16,2,0
760419,2026-06-13T22:00Z,FT,2869,Morocco,MAR,away,48.6,14,3,486,419,14,0,0
760418,2026-06-14T01:00Z,FT,2654,Haiti,HAI,home,53.7,15,2,431,367,23,1,0
760418,2026-06-14T01:00Z,FT,580,Scotland,SCO,away,46.3,9,2,374,307,21,3,0
760421,2026-06-14T04:00Z,FT,628,Australia,AUS,home,28.4,9,4,271,201,12,0,0
760421,2026-06-14T04:00Z,FT,465,Türkiye,TUR,away,71.6,30,8,704,635,4,1,0
760422,2026-06-14T17:00Z,FT,481,Germany,GER,home,64.6,26,12,637,554,18,0,0
760422,2026-06-14T17:00Z,FT,11678,Curaçao,CUW,away,35.4,8,2,343,282,11,0,0
760425,2026-06-14T20:00Z,FT,449,Netherlands,NED,home,59.8,10,6,524,463,7,3,0
760425,2026-06-14T20:00Z,FT,627,Japan,JPN,away,40.2,10,3,341,286,7,0,0
760423,2026-06-14T23:00Z,FT,4789,Ivory Coast,CIV,home,48.4,15,4,470,397,10,3,0
760423,2026-06-14T23:00Z,FT,209,Ecuador,ECU,away,51.6,12,1,492,419,13,1,0
760424,2026-06-15T02:00Z,FT,466,Sweden,SWE,home,48.7,13,7,356,278,10,0,0
760424,2026-06-15T02:00Z,FT,659,Tunisia,TUN,away,51.3,6,2,371,292,8,1,0
760428,2026-06-15T16:00Z,FT,164,Spain,ESP,home,74.3,27,7,800,734,10,1,0
760428,2026-06-15T16:00Z,FT,2597,Cape Verde,CPV,away,25.7,6,1,278,205,1,1,0
760426,2026-06-15T19:00Z,FT,459,Belgium,BEL,home,53.6,15,3,455,391,15,2,0
760426,2026-06-15T19:00Z,FT,2620,Egypt,EGY,away,46.4,14,3,398,323,15,2,0
760429,2026-06-15T22:00Z,FT,655,Saudi Arabia,KSA,home,33.2,7,3,322,236,11,1,0
760429,2026-06-15T22:00Z,FT,212,Uruguay,URU,away,66.8,27,10,612,540,6,0,0
760427,2026-06-16T01:00Z,FT,469,Iran,IRN,home,48.5,17,4,409,314,10,1,0
760427,2026-06-16T01:00Z,FT,2666,New Zealand,NZL,away,51.5,14,8,446,376,8,0,0
760432,2026-06-16T19:00Z,FT,478,France,FRA,home,53.4,11,8,575,505,5,0,0
760432,2026-06-16T19:00Z,FT,654,Senegal,SEN,away,46.6,6,2,502,430,9,0,0
760430,2026-06-16T22:00Z,FT,4375,Iraq,IRQ,home,38.7,11,1,334,271,12,1,0
760430,2026-06-16T22:00Z,FT,464,Norway,NOR,away,61.3,12,5,537,477,13,0,0
760433,2026-06-17T01:00Z,FT,202,Argentina,ARG,home,47.8,10,6,561,504,13,0,0
760433,2026-06-17T01:00Z,FT,624,Algeria,ALG,away,52.2,7,1,609,563,8,0,0
760431,2026-06-17T04:00Z,FT,474,Austria,AUT,home,63.2,11,4,580,487,12,1,0
760431,2026-06-17T04:00Z,FT,2917,Jordan,JOR,away,36.8,11,4,332,241,7,0,0
760435,2026-06-17T17:00Z,FT,482,Portugal,POR,home,75.4,7,1,783,724,9,3,0
760435,2026-06-17T17:00Z,FT,2850,Congo DR,COD,away,24.6,8,2,249,195,10,1,0
760437,2026-06-17T20:00Z,FT,448,England,ENG,home,51.7,22,11,474,406,10,0,0
760437,2026-06-17T20:00Z,FT,477,Croatia,CRO,away,48.3,10,5,443,381,12,0,0
760434,2026-06-17T23:00Z,FT,4469,Ghana,GHA,home,38,7,2,352,292,9,1,0
760434,2026-06-17T23:00Z,FT,2659,Panama,PAN,away,62,11,4,583,503,11,2,0
760436,2026-06-18T02:00Z,FT,2570,Uzbekistan,UZB,home,38.6,8,2,319,243,14,1,0
760436,2026-06-18T02:00Z,FT,208,Colombia,COL,away,61.4,15,4,519,444,11,1,0
760438,2026-06-18T16:00Z,FT,450,Czechia,CZE,home,38.3,14,3,341,272,12,1,0
760438,2026-06-18T16:00Z,FT,467,South Africa,RSA,away,61.7,17,4,563,508,10,2,0
760439,2026-06-18T19:00Z,FT,475,Switzerland,SUI,home,62.3,13,7,586,516,7,1,0
760439,2026-06-18T19:00Z,FT,452,Bosnia-Herzegovina,BIH,away,37.7,5,3,354,287,18,2,1
760440,2026-06-18T22:00Z,FT,206,Canada,CAN,home,79,32,10,567,515,9,1,0
760440,2026-06-18T22:00Z,FT,4398,Qatar,QAT,away,21,2,0,162,104,10,1,2
760441,2026-06-19T01:00Z,FT,203,Mexico,MEX,home,42.4,8,4,427,349,9,0,0
760441,2026-06-19T01:00Z,FT,451,South Korea,KOR,away,57.6,9,2,578,488,7,2,0
760442,2026-06-19T19:00Z,FT,660,United States,USA,home,61.9,10,2,523,444,12,3,0
760442,2026-06-19T19:00Z,FT,628,Australia,AUS,away,38.1,5,2,310,219,16,4,0
760445,2026-06-19T22:00Z,FT,580,Scotland,SCO,home,41.1,6,0,456,388,11,1,0
760445,2026-06-19T22:00Z,FT,2869,Morocco,MAR,away,58.9,12,2,670,600,8,1,0
760444,2026-06-20T00:30Z,FT,205,Brazil,BRA,home,56.7,8,5,525,462,13,1,0
760444,2026-06-20T00:30Z,FT,2654,Haiti,HAI,away,43.3,7,3,399,332,14,3,0
760443,2026-06-20T03:00Z,FT,465,Türkiye,TUR,home,78.5,32,5,629,559,14,1,0
760443,2026-06-20T03:00Z,FT,210,Paraguay,PAR,away,21.5,7,2,178,96,15,1,1
760447,2026-06-20T17:00Z,FT,449,Netherlands,NED,home,50.9,10,7,449,398,9,0,0
760447,2026-06-20T17:00Z,FT,466,Sweden,SWE,away,49.1,16,8,425,361,12,3,0
760448,2026-06-20T20:00Z,FT,481,Germany,GER,home,59.5,16,7,624,555,5,0,0
760448,2026-06-20T20:00Z,FT,4789,Ivory Coast,CIV,away,40.5,9,2,431,367,7,0,0
760446,2026-06-21T00:00Z,FT,209,Ecuador,ECU,home,74.6,27,15,644,581,7,1,0
760446,2026-06-21T00:00Z,FT,11678,Curaçao,CUW,away,25.4,10,3,227,159,10,5,0
760449,2026-06-21T04:00Z,FT,659,Tunisia,TUN,home,37.9,2,0,354,284,8,0,0
760449,2026-06-21T04:00Z,FT,627,Japan,JPN,away,62.1,11,5,583,521,15,0,0
760453,2026-06-21T16:00Z,FT,164,Spain,ESP,home,67.1,22,8,726,668,10,0,0
760453,2026-06-21T16:00Z,FT,655,Saudi Arabia,KSA,away,32.9,3,1,364,294,2,2,0
760451,2026-06-21T19:00Z,FT,459,Belgium,BEL,home,70.1,23,7,621,533,7,1,1
760451,2026-06-21T19:00Z,FT,469,Iran,IRN,away,29.9,7,3,270,198,9,1,0
760450,2026-06-21T22:00Z,FT,212,Uruguay,URU,home,65.2,17,2,511,420,11,2,0
760450,2026-06-21T22:00Z,FT,2597,Cape Verde,CPV,away,34.8,12,4,278,205,4,2,0
760452,2026-06-22T01:00Z,FT,2666,New Zealand,NZL,home,44.4,11,5,421,337,14,2,0
760452,2026-06-22T01:00Z,FT,2620,Egypt,EGY,away,55.6,19,7,526,460,8,1,0
760456,2026-06-22T17:00Z,FT,202,Argentina,ARG,home,53.6,12,5,554,494,13,2,0
760456,2026-06-22T17:00Z,FT,474,Austria,AUT,away,46.4,6,1,468,401,13,2,0
760457,2026-06-22T21:00Z,FT,478,France,FRA,home,55.6,19,5,603,540,8,0,0
760457,2026-06-22T21:00Z,FT,4375,Iraq,IRQ,away,44.4,4,0,481,413,4,1,0
760454,2026-06-23T00:00Z,FT,464,Norway,NOR,home,41.7,13,7,353,282,13,0,0
